Waterbody Name,Station ID,Date Collected,Family,Final ID
Safford Brook,20880,11/17/2023,Capniidae,Capniidae
Safford Brook,20880,11/17/2023,Peltoperlidae,Tallaperla
Salmon Brook,14435,9/2/2023,Brachycentridae,Brachycentrus numerosus
Salmon Brook,14435,9/2/2023,Perlidae,Acroneuria abnormis
Salmon Brook,14435,9/2/2023,Glossosomatidae,Glossosoma
Salmon Brook,14435,9/2/2023,Isonychiidae,Isonychia
Salmon River,17022,9/9/2023,Heptageniidae,Epeorus
Salmon River,17022,9/9/2023,Isonychiidae,Isonychia
Salmon River,17022,9/9/2023,Glossosomatidae,Glossosoma
Salmon River,17022,9/9/2023,Perlidae,Acroneuria abnormis
Scranton Brook,20879,11/30/2023,Perlidae,Eccoptura xanthenes
Scranton Brook,20879,11/30/2023,Peltoperlidae,Tallaperla
Scranton Brook,20879,11/30/2023,Leuctridae,Leuctridae
Scranton Brook,20879,11/30/2023,Lepidostomatidae,Lepidostoma
Scranton Brook,20879,11/30/2023,Nemouridae,Nemouridae
Scranton Brook,20879,11/30/2023,Taeniopterygidae,Taeniopterygidae
Scranton Brook,20879,11/30/2023,Chloroperlidae,Sweltsa
Scranton Brook,20879,11/30/2023,Rhyacophilidae,Rhyacophila carolina
Scranton Brook,20879,11/30/2023,Glossosomatidae,Glossosomatidae
Thompson Brook,20886,10/26/2023,Perlidae,Acroneuria
Thompson Brook,20886,10/26/2023,Rhyacophilidae,Rhyacophila fuscula
Wood Creek,17333,9/16/2023,Perlodidae,Perlodidae
Wood Creek,17333,9/16/2023,Chloroperlidae,Sweltsa
Wood Creek,17333,9/16/2023,Rhyacophilidae,Rhyacophila fuscula
Wood Creek,17333,9/16/2023,Heptageniidae,Epeorus
Wood Creek,17333,9/16/2023,Perlidae,Acroneuria
Wood Creek,17333,9/16/2023,Pteronarcyidae,Pteronarcys biloba
Wood Creek,17333,9/16/2023,Peltoperlidae,Tallaperla
Wood Creek,17333,9/16/2023,Isonychiidae,Isonychia
