DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG
167,Uchidastygacarus,,Arthropoda,,,,Arachnida,,,,Trombidiformes,,,,Uchidastygacaridae,,,,Uchidastygacarus,,,PRD
168,Acentrella parvula,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acentrella,parvula,"Plauditus parvulus, Pseudocloeon parvulum",SCR
169,Actinobdella,,Annelida,,,,Clitellata,,,,Rhynchobdellida,,,,Glossiphoniidae,Haementeriinae,,,Actinibdella,,,PRD
170,Aeolosoma,,Annelida,,,,Polychaeta,,,,,,,,Aeolosomatidae,,,,Aeolosoma,,,C-G
171,Aeolosomatidae,,Annelida,,,,Polychaeta,,,,,,,,Aeolosomatidae,,,,,,,C-G
172,Aeshna,,,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Aeshna,,Aeschna,PRD
173,Agnetina,,,,,,Insecta,,,,Plecoptera,,,,Perlidae,,,,Agnetina,,Phasganophora,PRD
174,Ameletus,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ameletidae,,,,Ameletus,,,C-G
175,Apedilum ,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,,,Apedilum,,Paralauterborniella,C-G
176,Apsectrotanypus ,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Tanypodinae,,,Apsectrotanypus,,Tanypus,PRD
177,Arctopsyche ladogensis ,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Arctopsyche,,,
178,Atrichopogon,,Arthropoda,,,,Insecta,,,,Diptera,,,,Ceratopogonidae,,,,Atrichopogon,,,PRD
179,Aturidae,,Arthropoda,,,,Arachnida,,,,Acariformes,,,,Aturidae,,,,,,,PRD
180,Aturus ,,Arthropoda,,,,Arachnida,,,,Trombidoformes,,,,Aturidae,,,,Aturus,,,
181,Aulodrilus,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Tubificidae,,,,Aulodrilus,,,
182,Baetisca rubescens ,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetiscidae,,,,Baetisca,,,
183,Bivalvia,,Mollusca,,,,Bivalvia,,,,,,,,,,,,,,,C-F
184,Brachycentrus americanus,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,,
185,Brachycentrus nigrosoma,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,,
186,Brachycentrus solomoni,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,,
187,Branchiobdellidae,,Annelida,,,,Clitellata,,,,Branchiobdellida,,,,Branchiobdellidae,,,,,,,C-G
188,Caenis anceps,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Caenidae,,,,Caenis,anceps,,C-G
189,Cardiocladius albiplumus,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Cardiocladius,,,
190,Cardiocladius decisum,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Cardiocladius,,,
191,Ceratopsyche,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,Hydropsychinae,,,Ceratopsyche,,"Symphitopsyche, Hydropsyche",C-F
192,Chaetogaster diastrophus,,,,,,Oligochaeta,,,,Tubificida,,,,Naididae,,,,Chaetogaster,diastrophus,,C-G
193,Chelifera/Hemerodromia,,Arthropoda,,,,Insecta,,,,Diptera,,,,Empididae,,,,,,,PRD
194,Chelifera/Metachela,,Arthropoda,,,,Insecta,,,,Diptera,,,,Empididae,Hemerodromiinae,,,Chelifera,,Chelifera/Hemerodromia,PRD
195,Chromagrion conditum,,,,,,Insecta,,,,Odonata,,,,Coenagrionidae,,,,Chromagrion,conditum,,PRD
196,Clathrosperchon americanus,,Arthropoda,,,,Arachnida,,,,Trombidiformes,,,,Clathrosperchonidae,,,,Clathrosperchon,americanus,,PRD
197,Clioperla clio,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Clioperla,clio,Isoperla clio,PRD
198,Cloeon dipterum,,,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Cloeon,dipterum,Neocloeon,C-G
199,Coenagrion/Enallagma,,,,,,Insecta,,,,Odonata,,,,Coenagrionidae,,,,Enallagma,,,PRD
200,Corbicula,,Mollusca,,,,Bivalvia,,,,Veneroida,,,,Corbiculidae,,,,Corbicula,,,C-F
201,Corbiculoidea,,Arthropoda,,,,Bivalvia,,,,Veneroida,,,,,,,,,,,C-F
202,Corduliidae,,Arthropoda,,,,Insecta,,,,Odonata,,,,Corduliidae,,,,,,,PRD
203,Crangonyctidae,,Arthropoda,,,,Malacostraca,,,,Amphipoda,,,,Crangonyctidae,,,,,,,C-G
204,Cricotopus bicinctus group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,,,Cricotopus,bicinctus,,SCR
205,Cyathura polita,,Arthropoda,,,,Malacostraca,,,,Isopoda,,,,Anthuridea,,,,Cyathura,polita,,C-G
