"Stream_Mun","staSeq","DATE_COL","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"NNT to Eightmile River (EAST HADDAM)",21112,2025-10-24, , , ,"X","X", ,"X", , , , , ,"X","X","X","X","X","X", , , , , , , , ,"X", , , , , 
"Ransom Brook (SALEM)",21113,2025-10-17, , , ,"X","X", , , , , ,"X", , ,"X","X","X","X","X","X", , , , , , ,"X", , , , , , 
"Harris Brook (SALEM)",21114,2025-10-17, ,"X", , ,"X", ,"X", , , , , ,"X","X","X", ,"X","X", , , , , , ,"X", ,"X","X", ,"X", , 
"NNT to Blackledge River (MARLBOROUGH)",21115,2025-11-19, , ,"X","X","X", ,"X", , ,"X", , ,"X","X","X","X","X","X", , , , , , , ,"X","X", , , , , 
"Jim Brook (CANTON)",21116,2025-10-13, , , , ,"X", , , , , , , ,"X","X","X", ,"X","X", , , , , , , , ,"X", , , , , 
"South Branch Bullet Hill Brook (SOUTHBURY)",21117,2025-10-29, ,"X", , ,"X", ,"X", , ,"X", , ,"X","X","X", , , ,"X","X", , , , , ,"X","X","X","X", , , 
"Plumb Brook (WOODBURY)",21118,2025-10-19, , , ,"X","X", ,"X", , , , , ,"X", ,"X", ,"X", , , , , , , , ,"X","X", , , , , 
"Sunset Hill Brook (THOMPSON)",21119,2025-09-04, , , , ,"X", ,"X", , , , , ,"X","X","X", ,"X", ,"X","X","X", , , , ,"X","X","X", , , , 
"Sawmill Brook (MANSFIELD)",21120,2025-10-26, ,"X", ,"X","X","X","X", , , ,"X", , ,"X","X","X","X","X","X","X", , , , , ,"X","X","X", ,"X", , 
"Fall Brook (KILLINGLY)",21121,2025-10-29, , , ,"X","X", ,"X","X","X", , , ,"X","X","X","X","X","X", , , , , , , ,"X","X","X", , , , 
